player_1;points_player_1;player_2;points_player_2;round
Pepega;2;Namse;2;1
The Beast;0;Namse;6;1
Hasran Ogress;0;Namse;6;1
Haakon, Geißel der anderen;0;Namse;6;1
Necronlord;0;Namse;6;1
Bongoking;2;Namse;2;1
thiefAaron;0;Namse;6;1
NumiChan;0;Namse;6;1
TimS;2;Namse;2;1
Master_of_Desaster;2;Namse;2;1
Yet_another_Geron;0;Namse;6;1
Namse;2;Pepega;2;1
The Beast;6;Pepega;0;1
Hasran Ogress;6;Pepega;0;1
Haakon, Geißel der anderen;6;Pepega;0;1
Necronlord;0;Pepega;6;1
Bongoking;6;Pepega;0;1
thiefAaron;6;Pepega;0;1
NumiChan;2;Pepega;2;1
TimS;2;Pepega;2;1
Master_of_Desaster;2;Pepega;2;1
Yet_another_Geron;2;Pepega;2;1
Namse;6;The Beast;0;1
Pepega;0;The Beast;6;1
Hasran Ogress;3;The Beast;3;1
Haakon, Geißel der anderen;6;The Beast;0;1
Necronlord;0;The Beast;6;1
Bongoking;2;The Beast;2;1
thiefAaron;3;The Beast;3;1
NumiChan;6;The Beast;0;1
TimS;0;The Beast;6;1
Master_of_Desaster;6;The Beast;0;1
Yet_another_Geron;3;The Beast;3;1
Namse;6;Hasran Ogress;0;1
Pepega;0;Hasran Ogress;6;1
The Beast;3;Hasran Ogress;3;1
Haakon, Geißel der anderen;3;Hasran Ogress;3;1
Necronlord;3;Hasran Ogress;3;1
Bongoking;2;Hasran Ogress;2;1
thiefAaron;3;Hasran Ogress;3;1
NumiChan;0;Hasran Ogress;6;1
TimS;0;Hasran Ogress;6;1
Master_of_Desaster;6;Hasran Ogress;0;1
Yet_another_Geron;3;Hasran Ogress;3;1
Namse;6;Haakon, Geißel der anderen;0;1
Pepega;0;Haakon, Geißel der anderen;6;1
The Beast;0;Haakon, Geißel der anderen;6;1
Hasran Ogress;3;Haakon, Geißel der anderen;3;1
Necronlord;0;Haakon, Geißel der anderen;6;1
Bongoking;2;Haakon, Geißel der anderen;2;1
thiefAaron;1;Haakon, Geißel der anderen;4;1
NumiChan;2;Haakon, Geißel der anderen;2;1
TimS;2;Haakon, Geißel der anderen;2;1
Master_of_Desaster;6;Haakon, Geißel der anderen;0;1
Yet_another_Geron;1;Haakon, Geißel der anderen;4;1
Namse;6;Necronlord;0;1
Pepega;6;Necronlord;0;1
The Beast;6;Necronlord;0;1
Hasran Ogress;3;Necronlord;3;1
Haakon, Geißel der anderen;6;Necronlord;0;1
Bongoking;2;Necronlord;2;1
thiefAaron;3;Necronlord;3;1
NumiChan;6;Necronlord;0;1
TimS;0;Necronlord;6;1
Master_of_Desaster;6;Necronlord;0;1
Yet_another_Geron;3;Necronlord;3;1
Namse;2;Bongoking;2;1
Pepega;0;Bongoking;6;1
The Beast;2;Bongoking;2;1
Hasran Ogress;2;Bongoking;2;1
