player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;round
Namse;Force of Will;Slippery Bogle;Dryad Arbor;00;02;06;06;06;06;02;06;06;02;02;06;1
Pepega;The Tabernacle at Pendrell Vale;Urborg, Tomb of Yawgmoth;Hunted Horror;02;00;00;00;00;06;00;00;02;02;02;02;1
The Beast;Lightning Helix;Isochron Scepter;City of Traitors;00;06;00;03;00;06;02;03;00;06;00;03;1
Hasran Ogress;Black Lotus;Lurrus of the Dream-Den;Hypnotic Sprite // Mesmeric Glare;00;06;03;00;03;03;02;03;06;06;00;03;1
Haakon, Geißel der anderen;City of Traitors;Phyrexian Revoker;Ratchet Bomb;00;06;06;03;00;06;02;04;02;02;00;04;1
Necronlord;Black Lotus;Black Lotus;Chandra, Flame's Fury;00;00;00;03;00;00;02;03;00;06;00;03;1
Bongoking;Saprazzan Cove;Force of Will;Misthollow Griffin;02;06;02;02;02;02;00;02;06;02;06;02;1
thiefAaron;Black Lotus;Lurrus of the Dream-Den;Davriel, Rogue Shadowmage;00;06;03;03;01;03;02;00;02;06;00;00;1
NumiChan;Black Lotus;Leyline of Anticipation;Liliana's Specter;00;02;06;00;02;06;00;02;00;00;00;00;1
TimS;Vendetta;Death's Shadow;Sulfurous Springs;02;02;00;00;02;00;02;00;06;00;02;02;1
Master_of_Desaster;Force of Will;Force of Will;Dryad Arbor;02;02;06;06;06;06;00;06;06;02;00;06;1
Yet_another_Geron;Black Lotus;Liliana of the Veil;Basking Rootwalla;00;02;03;03;01;03;02;06;06;02;00;00;1
