player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;result_12;result_13;result_14;round
Namse;Scrubland;Duress;Serra Ascendant;00;06;02;03;06;00;03;00;02;03;06;04;06;00;06;100
Daeron;Kabira Crossroads;Black Lotus;Aetherflux Reservoir;00;00;04;03;00;00;03;03;00;00;02;06;00;06;02;100
hoempes;Serra Ascendant;Pick Your Poison;Savannah;02;01;00;00;06;00;01;02;02;03;01;02;02;00;03;100
Silver Seraph;Black Lotus;Black Lotus;Vraska, Relic Seeker;03;03;06;00;00;00;03;04;06;00;03;06;00;06;03;100
GoDJi8;Leyline of Anticipation;Black Lotus;Vryn Wingmare;00;06;00;06;00;00;06;00;00;06;06;06;00;00;06;100
hug77;Leyline of Anticipation;Black Lotus;Anointed Peacekeeper;06;06;06;06;06;00;06;06;00;06;06;06;00;00;06;100
Master_of_Desaster;Sheltered Valley;Black Lotus;Aetherflux Reservoir;03;03;04;03;00;00;00;03;02;00;03;04;00;06;03;100
lollonator;Karakas;Serra Ascendant;Serra Ascendant;06;03;02;01;06;00;03;00;02;03;03;02;06;00;03;100
Michael W;Wasteland;Inferno of the Star Mounts;Dwarven Hold;02;06;02;00;06;06;02;02;00;00;06;06;06;00;06;100
BlackHole;Black Lotus;Black Lotus;Sorin Markov;03;06;03;06;00;00;06;03;06;00;06;06;00;06;06;100
lordfire;Kabira Crossroads;Aetherflux Reservoir;Black Lotus;00;02;04;03;00;00;03;03;00;00;00;06;00;06;02;100
Bongoking;Meekstone;Scalding Tongs;Mishra's Workshop;01;00;02;00;00;00;01;02;00;00;00;00;00;02;03;100
Thoradin;Force of Will;Snapback;Memnite;00;06;02;06;06;06;06;00;00;06;06;06;00;00;06;100
P0LTERGEIST;Icatian Store;Sand Silos;Ulamog, the Infinite Gyre;06;00;06;00;06;06;00;06;06;00;00;02;06;00;00;100
thiefAaron;Black Lotus;Blossoming Sands;Aetherflux Reservoir;00;02;03;03;00;03;03;03;00;00;02;03;00;06;00;100
