player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;result_12;result_13;result_14;result_15;result_16;round
Namse;Shelldock Isle;Lion's Eye Diamond;Emrakul, the Aeons Torn;00;06;06;06;06;06;06;06;06;06;06;06;06;03;03;06;06;11
The Beast;Black Lotus;Runed Halo;Maze of Ith;00;00;02;04;02;02;00;02;02;02;03;02;02;00;02;06;02;11
Michael W;Transcendence;Black Lotus;Black Lotus;00;02;00;03;02;00;00;02;02;02;06;02;02;00;02;06;02;11
lollonator;Irrigation Ditch;Stern Dismissal;Old-Growth Dryads;00;01;03;00;00;00;01;01;03;03;01;03;01;00;01;00;00;11
NumiChan;Black Lotus;Lurrus of the Dream-Den;Runed Halo;00;02;02;06;00;02;02;02;02;00;00;02;02;00;06;06;02;11
Hasran Ogress;Ratchet Bomb;Lupine Prototype;City of Traitors;00;02;06;06;02;00;02;06;06;00;02;06;02;00;06;02;06;11
»Arcanis«;Remote Farm;Runed Halo;War Priest of Thune;00;06;06;04;02;02;00;02;06;02;02;06;02;00;04;02;02;11
The green one;Black Lotus;Dryad Arbor;Ali from Cairo;00;02;02;04;02;00;02;00;02;02;06;02;02;00;06;00;00;11
P0LTERGEIST;Transcendence;Black Lotus;Black Lotus;00;02;02;03;02;00;00;02;00;02;06;02;02;00;02;06;02;11
MagicStorm;Black Lotus;Black Lotus;Archon of Coronation;00;02;02;03;06;06;02;02;02;00;06;02;02;00;06;00;00;11
Choke;Skyshroud Cutter;Skyshroud Cutter;Dryad Arbor;00;03;00;04;06;02;02;00;00;00;00;00;06;00;06;03;00;11
hug77;Black Lotus;Black Lotus;Transcendence;00;02;02;03;02;00;00;02;02;02;06;00;02;00;02;06;02;11
Bongoking;Maze of Ith;City of Traitors;Sundial of the Infinite;00;02;02;04;02;02;02;02;02;02;00;02;00;00;02;06;02;11
hoempes;Lion's Eye Diamond;Ulamog, the Infinite Gyre;Shelldock Isle;03;06;06;06;06;06;06;06;06;06;06;06;06;00;03;00;06;11
thiefAaron;Karakas;Mishra's Factory;Circle of Protection: Red;03;02;02;04;00;00;01;00;02;00;00;02;02;03;00;00;00;11
BlackHole;Savannah;Swords to Plowshares;Loam Lion;00;00;00;06;00;02;02;06;00;06;03;00;00;06;06;00;00;11
Master_of_Desaster;Black Lotus;Chronatog;The Tabernacle at Pendrell Vale;00;02;02;06;02;00;02;06;02;06;06;02;02;00;06;06;00;11
