player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Wasteland;Rotting Regisaur;Spiketail Drakeling;00;06;00;00;00;00;00;03;06;02;122
lollonator;Karakas;Elvish Spirit Guide;Thalia, Guardian of Thraben;00;00;00;00;06;00;06;00;06;00;122
Silver Seraph;Leyline of Anticipation;Force of Will;Frost Titan;06;06;00;02;06;00;06;06;06;02;122
Schniggi;Anointed Peacekeeper;Leyline of Anticipation;Sink into Stupor // Soporific Springs;06;06;02;00;06;02;06;06;06;02;122
BlackHole;Hypergenesis;Emrakul, the Aeons Torn;Progenitus;06;00;00;00;00;00;00;06;00;00;122
hug77;Leyline of Anticipation;Anointed Peacekeeper;Aven Interrupter;06;06;06;02;06;00;06;06;00;06;122
Michael W;Leyline of Anticipation;Chalice of the Void;Chancellor of the Forge;06;00;00;00;06;00;00;06;00;00;122
Sterni;Davriel, Rogue Shadowmage;Sorin, Lord of Innistrad;Karakas;03;06;00;00;00;00;00;00;06;00;122
Master_of_Desaster;Karakas;Dark Depths;Thespian's Stage;00;00;00;00;06;06;06;00;00;06;122
The Beast;Force of Will;Subtlety;Carnage Tyrant;02;06;02;02;06;00;06;06;00;00;122
