player;card_1;card_2;card_3;card_4;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;City of Traitors;Lupine Prototype;Lupine Prototype;Variante 4;00;00;00;06;06;00;06;00;00;06;06;153
Schniggi;Helix Pinnacle;Ensnaring Bridge;Mishra's Workshop;Variante 3;06;00;06;06;06;00;03;06;02;02;00;153
Silver Seraph;Karakas;Leyline of Singularity;Hexdrinker;Variante 3;06;00;00;04;06;02;06;06;04;02;06;153
BlackHole;Karakas;Maze of Ith;Serra Ascendant;Variante 2;00;00;01;00;02;00;02;00;02;02;06;153
Sterni;Rograkh, Son of Rohgahh;Ornithopter;Ornithopter;Variante 1;00;00;00;02;00;02;06;00;03;02;06;153
Michael W;Mishra's Factory;The Tabernacle at Pendrell Vale;Wild Magic Surge;Variante 5;06;06;02;06;02;00;02;06;00;06;06;153
lollonator;Cavern of Souls;Tidehollow Sculler;Scalding Viper // Steam Clean;Variante 3;00;03;00;02;00;02;00;01;03;06;06;153
Optimiert;Kuldotha Rebirth;Great Furnace;Ornithopter;Variante 1;06;00;00;06;06;00;04;00;00;00;00;153
hug77;Dread Fugue;Mana Tithe;Swarm Shambler;Variante 3;06;02;01;02;03;06;03;06;00;00;06;153
Master_of_Desaster;Black Lotus;Ammit Eternal;Minor Misstep;Variante 3;00;02;02;02;02;00;00;06;06;00;02;153
The Beast;Spell Pierce;Troll of Khazad-dûm;Reanimate;Variante 3;00;06;00;00;00;00;00;06;00;02;00;153
