player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;result_12;result_13;result_14;result_15;round
Namse;Black Lotus;Elephant Grass;Silhana Ledgewalker;00;00;06;06;03;00;00;02;06;00;00;02;06;00;02;00;17
Michael W;Mana Crypt;Mana Crypt;Walking Ballista;06;00;00;06;00;00;00;06;00;00;00;06;00;03;00;03;17
lollonator;Mishra's Workshop;Phyrexian Soulgorger;Phyrexian Soulgorger;00;06;00;00;06;00;04;02;03;04;06;00;06;06;00;03;17
Vhaleru;Wasteland;Black Lotus;Preacher;00;00;06;00;04;06;02;02;03;02;02;02;06;06;06;01;17
The Beast;Mishra's Workshop;Trinisphere;Phyrexian Soulgorger;03;06;00;01;00;02;02;04;04;02;06;04;04;00;06;03;17
Bongoking;Sanctum of Stone Fangs;Glacial Chasm;Urborg, Tomb of Yawgmoth;06;06;06;00;02;00;02;06;03;02;02;06;06;02;00;02;17
Master_of_Desaster;Mishra's Workshop;Phyrexian Soulgorger;Ratchet Bomb;06;06;01;02;02;02;00;06;06;02;00;06;02;06;00;03;17
Hoempes;Black Lotus;Lurrus of the Dream-Den;Sustaining Spirit;02;00;02;02;01;00;00;00;00;00;00;02;02;00;00;01;17
BlackHole;Black Lotus;Black Lotus;Greater Harvester;00;06;03;03;01;03;00;06;00;00;00;00;00;06;03;03;17
thiefAaron;Mishra's Workshop;Phyrexian Soulgorger;Ratchet Bomb;06;06;01;02;02;02;02;06;06;00;00;06;02;06;00;03;17
NumiChan;Force of Will;Slippery Bogle;Dryad Arbor;06;06;00;02;00;02;06;06;06;06;00;02;06;00;06;06;17
The green one;Forest;Elephant Grass;Hexdrinker;02;00;06;02;01;00;00;02;06;00;02;00;00;00;02;01;17
Hasran Ogress;Mana Crypt;City of Traitors;Phyrexian Soulgorger;00;06;00;00;01;00;02;02;06;02;00;06;00;00;00;01;17
P0LTERGEIST;Azorius Chancery;Inkmoth Nexus;Deputy of Detention;06;03;00;00;06;02;00;06;00;00;06;06;06;00;00;00;17
hug77;Shelldock Isle;Lion's Eye Diamond;Ulamog, the Infinite Gyre;02;06;06;00;00;06;06;06;03;06;00;02;06;06;00;00;17
»Arcanis«;Black Lotus;Lurrus of the Dream-Den;Hypnotic Sprite;06;03;03;04;03;02;03;04;03;03;00;04;04;06;06;00;17
