player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;result_12;result_13;round
Namse;Black Lotus;Smallpox;Nether Spirit;00;03;03;06;04;03;03;04;06;03;03;03;06;03;19
hoempes;Black Lotus;Threads of Disloyalty;Force of Will;03;00;03;01;00;03;03;03;03;03;03;00;03;03;19
NumiChan;Black Lotus;Archmage's Charm;Leyline of Anticipation;03;03;00;01;00;03;03;03;03;03;03;00;03;03;19
Master_of_Desaster;Karakas;Aether Vial;Mangara of Corondor;00;04;04;00;00;00;04;06;00;04;04;00;00;03;19
BlackHole;Mishra's Factory;Karakas;Disenchant;01;06;06;06;00;03;06;02;00;06;06;06;00;06;19
Michael W;Black Lotus;Tree of Tales;Oko, Thief of Crowns;03;03;03;06;03;00;03;03;00;03;03;06;00;03;19
thiefAaron;Black Lotus;Dominate;Force of Will;03;03;03;01;00;03;00;03;03;03;03;00;03;03;19
lollonator;Seat of the Synod;Curfew;Thriving Turtle;01;03;03;00;02;03;03;00;04;03;03;00;04;03;19
Bongoking;Not of This World;Black Lotus;Entrancing Melody;00;03;03;06;06;06;03;01;00;03;03;06;03;03;19
hug77;Leyline of Anticipation;Black Lotus;Archmage's Charm;03;03;03;01;00;03;03;03;03;00;03;00;03;03;19
The green one;Leyline of Anticipation;Black Lotus;Archmage's Charm;03;03;03;01;00;03;03;03;03;03;00;00;03;03;19
P0LTERGEIST;Karakas;Inkmoth Nexus;Ratchet Bomb;03;06;06;06;00;00;06;06;00;06;06;00;00;06;19
The Beast;Not of This World;Black Lotus;Entrancing Melody;00;03;03;06;06;06;03;01;03;03;03;06;00;03;19
»Arcanis«;Snapback;Force of Will;Memnite;03;03;03;03;00;03;03;03;03;03;03;00;03;00;19
