player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;Mishra's Workshop;Ensnaring Bridge;Chalice of Life // Chalice of Death;00;00;03;03;03;06;03;03;06;06;03;36
Master_of_Desaster;Pendelhaven;Black Lotus;Arlinn Kord // Arlinn, Embraced by the Moon;06;00;06;06;06;00;06;06;04;02;06;36
The Beast;Mishra's Workshop;Ensnaring Bridge;Chalice of Life // Chalice of Death;03;00;00;03;03;06;03;03;06;06;03;36
hug77;Mishra's Workshop;Ensnaring Bridge;Chalice of Life // Chalice of Death;03;00;03;00;03;06;03;03;06;06;03;36
QKey;Mishra's Workshop;Ensnaring Bridge;Chalice of Life // Chalice of Death;03;00;03;03;00;06;03;03;06;06;03;36
Bongoking;Instigator Gang // Wildblood Pack;Black Lotus;Llanowar Reborn;00;06;00;00;00;00;00;00;00;01;00;36
The green one;Mishra's Workshop;Ensnaring Bridge;Chalice of Life // Chalice of Death;03;00;03;03;03;06;00;03;06;06;03;36
BlackHole;Mishra's Workshop;Ensnaring Bridge;Chalice of Life // Chalice of Death;03;00;03;03;03;06;03;00;06;06;03;36
NumiChan;Brutal Cathar // Moonrage Brute;Black Lotus;Dryad Arbor;00;01;00;00;00;06;00;00;00;00;00;36
lollonator;Mountain;Village Messenger // Moonrise Intruder;Lightning Bolt;00;02;00;00;00;04;00;00;06;00;00;36
P0LTERGEIST;Mishra's Workshop;Ensnaring Bridge;Chalice of Life // Chalice of Death;03;00;03;03;03;06;03;03;06;06;00;36
