player;card_1;card_2;card_3;card_4;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse ; Chancellor of the Dross; Chancellor of the Dross; Subterranean Hangar;;00;06;03;06;00;06;06;00;00;06;39
IMP ; Ensnaring Bridge; Mishra's Workshop; Strixhaven Stadium; Thermal Navigator;00;00;00;06;06;00;00;02;02;06;39
The Beast ; Chancellor of the Dross; Chancellor of the Dross; Black Lotus; Sorin, Imperious Bloodlord;03;06;00;06;06;06;06;06;00;06;39
Michael W ; Death's Shadow; Death's Shadow; Cavern of Souls; Not of this World;00;00;00;00;06;00;06;00;00;06;39
BlackHole ; Forest; Old-Growth Dryads ; Old-Growth Dryads ;;06;00;06;00;00;06;06;00;00;06;39
hug77 ; Force of Will; Leyline of Anticipation; Black Lotus; Magus of the Moon;00;06;00;06;00;00;06;06;06;06;39
lollonator ; Wasteland; Force of Will; Snapback; Memnite;00;06;00;00;00;00;00;06;06;06;39
thiefAaron ; Cavern of Souls; Serra Ascendant;;;06;02;00;06;06;00;00;00;00;06;39
Master_of_Desaster ; Leyline of Singularity; Karakas; Chaplain of Alms;;06;02;06;06;06;00;00;06;00;00;39
The green one ; Minicreepers ; Inkmoth Nexus; Mishra's Factory;;00;00;00;00;00;00;00;00;06;00;39
