player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;result_12;round
Namse;The Tabernacle at Pendrell Vale;Yavimaya, Cradle of Growth;Wall of Junk;00;06;01;06;00;06;00;00;06;02;06;00;02;55
Master_of_Desaster;Black Lotus;Nomads en-Kor;Daru Spiritualist;00;00;06;06;06;06;03;06;00;01;00;03;00;55
SoulCollector;Wasteland;Mishra's Workshop;Weathered Sentinels;04;00;00;00;00;06;06;00;06;03;06;06;00;55
Kratos Aurion;Black Lotus;Black Lotus;Harmonious Archon;00;00;06;00;06;06;03;06;00;06;00;00;00;55
Michael W;Shield Sphere;Shield Sphere;Wasteland;06;00;06;00;00;06;06;00;00;00;06;06;03;55
IMP;Triskaidekaphobia;Subterranean Hangar;Tree of Perdition;00;00;00;00;00;00;02;00;00;00;06;00;00;55
lollonator;City of Traitors;Isochron Scepter;Geth's Verdict;06;03;00;03;00;02;00;01;06;06;06;01;00;55
BlackHole;Black Lotus;Wasteland;Charix, the Raging Isle;06;00;06;00;06;06;04;00;00;00;02;04;00;55
hug77;Leyline of Anticipation;Chalice of the Void;Shield Sphere;00;06;00;06;06;06;00;06;00;06;00;06;02;55
The green one;Black Lotus;Dwarven Thaumaturgist;Shield Sphere;02;04;03;00;06;06;00;06;00;00;00;00;03;55
The Beast;The Tabernacle at Pendrell Vale;Karakas;Mishra's Factory;00;06;00;06;00;00;00;02;06;06;00;02;06;55
P0LTERGEIST;Shelldock Isle;Emrakul, the Aeons Torn;Lion's Eye Diamond;06;03;00;06;00;06;04;01;00;06;02;00;00;55
NumiChan;Shield Sphere;Force of Will;Snapback;02;06;06;06;03;06;06;06;02;03;00;06;00;55
