player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;result_12;result_13;round
Namse;Counterspell;Archmage's Charm;Meddling Mage;00;03;02;03;00;02;06;06;06;03;06;03;00;01;35
lollonator;Cavern of Souls;Angel of Jubilation;Archmage's Charm;03;00;06;03;00;03;03;03;02;03;02;03;06;03;35
QKey;Counterflux;Abrupt Decay;Lavinia, Azorius Renegade;02;00;00;00;02;02;03;03;06;00;06;03;00;02;35
The Beast;Vexing Shusher;Godhead of Awe;Spikefield Hazard;03;03;06;00;06;06;00;06;00;03;00;03;06;03;35
Bongoking;Leyline of Lifeforce;Leyline of Anticipation;Meddling Mage;06;06;02;00;00;06;00;06;06;00;06;00;00;06;35
Michael W;Counterflux;Dark Depths;Vampire Hexmage;02;03;02;00;00;00;03;06;06;03;06;03;06;02;35
BlackHole;Distress;Assassin's Trophy;Gigantosaurus;00;03;03;06;06;03;00;06;06;03;06;03;04;00;35
GoDJi8;Black Lotus;Archmage's Charm;Garth One-Eye;00;03;03;00;00;00;00;00;06;03;06;03;00;00;35
NumiChan;Black Lotus;Solemnity;Sanctum of Stone Fangs;00;02;00;06;00;00;00;00;00;02;02;00;02;00;35
thiefAaron;Cavern of Souls;Angel of Jubilation;Frilled Mystic;03;03;06;03;06;03;03;03;02;00;02;03;06;03;35
Master_of_Desaster;Black Lotus;Solemnity;Sanctum of Stone Fangs;00;02;00;06;00;00;00;00;02;02;00;00;02;00;35
The green one;Frilled Mystic;Meddling Mage;Meddling Mage;03;03;03;03;06;03;03;03;06;03;06;00;00;03;35
P0LTERGEIST;Nether Spirit;High Market;The Tabernacle at Pendrell Vale;06;00;06;00;06;00;01;06;02;00;02;06;00;00;35
hug77;Nicol Bolas, Dragon God;Mana Tithe;Counterflux;04;03;02;03;00;02;06;06;06;03;06;03;06;00;35
