player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;result_11;round
Namse;Desert;Mishra's Factory;The Tabernacle at Pendrell Vale;00;06;00;00;02;06;00;06;02;06;06;00;44
Kratos Aurion;Black Lotus;Anurid Scavenger;Misguided Rage;00;00;06;06;02;00;06;00;06;06;00;03;44
Michael W;Mountain;Wasteland;Yidaro, Wandering Monster;06;00;00;06;02;06;00;06;03;02;06;02;44
IMP;Golgari Rot Farm;Ancient Tomb;Thrun, the Last Troll;06;00;00;00;06;06;00;06;00;06;06;02;44
The Beast;Plains;Swords to Plowshares;Inkmoth Nexus;02;02;02;00;00;06;00;06;02;06;06;00;44
BlackHole;Force of Will;Snapback;Memnite;00;06;00;00;00;00;06;02;00;00;02;00;44
hug77;Forest;Wasteland;Crashing Footfalls;06;00;06;06;06;00;00;00;02;06;02;02;44
lollonator;Force of Will;Snapback;Memnite;00;06;00;00;00;02;06;00;00;00;02;00;44
The green one;Pendelhaven;Glistener Elf;Hope of Ghirapur;02;00;03;06;02;06;02;06;00;06;06;04;44
Bongoking;Karakas;Cavern of Souls;Ichorclaw Myr;00;00;02;00;00;06;00;06;00;00;03;00;44
GoDJi8;Slippery Bogle;Force of Will;Dryad Arbor;00;06;00;00;00;02;02;02;00;03;00;00;44
Master_of_Desaster;Pendelhaven;Durkwood Baloth;Crashing Footfalls;06;03;02;02;06;06;02;06;01;06;06;00;44
