player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;result_10;round
Namse;The Tabernacle at Pendrell Vale;Urborg, Tomb of Yawgmoth;Gifted Aetherborn;00;00;00;00;06;00;00;00;00;00;03;63
Michael W;Wasteland;Mishra's Factory;The Tabernacle at Pendrell Vale;06;00;00;00;06;06;06;03;00;00;06;63
Kratos Aurion;Black Lotus;Boseiju, Who Endures;Kiora, the Crashing Wave;06;06;00;00;00;00;06;06;00;00;00;63
lollonator;Wasteland;Great Furnace;Kuldotha Rebirth;06;06;06;00;03;02;06;06;00;06;00;63
BlackHole;Mishra's Workshop;Lupine Prototype;Lupine Prototype;00;00;06;03;00;03;00;00;00;06;06;63
IMP;Wasteland;Myr Servitor;Myr Servitor;06;00;06;02;03;00;00;00;00;06;06;63
hug77;The Tabernacle at Pendrell Vale;Wasteland;Sheltered Valley;06;00;00;00;06;06;00;00;00;00;06;63
The Beast;The Tabernacle at Pendrell Vale;Wasteland;Mishra's Factory;06;03;00;00;06;06;06;00;00;00;06;63
lordfire;Elspeth, Sun's Champion;Black Lotus;Black Lotus;06;06;06;06;06;06;06;06;00;06;00;63
Master_of_Desaster;Mishra's Factory;Mishra's Factory;Mishra's Factory;06;06;06;00;00;00;06;06;00;00;06;63
P0LTERGEIST;Force of Will;Snapback;Chancellor of the Forge;03;00;06;06;00;00;00;00;06;00;00;63
