player;card_1;card_2;card_3;result_0;result_1;result_2;result_3;result_4;result_5;result_6;result_7;result_8;result_9;round
Namse;Leyline of Anticipation;Black Lotus;Boromir, Warden of the Tower;00;00;06;06;06;00;00;06;06;06;86
IMP;Leyline of Anticipation;Black Lotus;Anointed Peacekeeper;06;00;06;00;06;02;06;06;06;06;86
Kratos Aurion;Lavinia, Azorius Renegade;Force of Will;Black Lotus;00;00;00;00;00;00;00;00;00;00;86
Bongoking;Contagion;Grief;Soul Spike;00;06;06;00;06;06;06;06;06;02;86
lollonator;Black Lotus;Black Lotus;Frost Titan;00;00;06;00;00;00;03;06;00;00;86
hug77;Leyline of Anticipation;Black Lotus;Anointed Peacekeeper;06;02;06;00;06;00;06;06;06;06;86
The Beast;Volcanic Island;Daze;Lightning Bolt;06;00;06;00;03;00;00;03;03;06;86
Michael W;Black Lotus;Black Lotus;Wurmcoil Engine;00;00;06;00;00;00;03;00;00;00;86
BlackHole;Black Lotus;Black Lotus;Imotekh the Stormlord;00;00;06;00;06;00;03;06;00;00;86
Master_of_Desaster;Black Lotus;Argivian Find;Tendrils of Agony;00;00;06;02;06;00;00;06;06;00;86
